species,toxin,n,meantox,mediantox,mintox,maxtox
FTSC11,ENA1,3,0.403,0.268,0.098,0.842
FTSC11,ENB,6,9.778,8.261,3.986,19.431
FTSC11,ENB1,4,1.252,1.017,0.596,2.378
FTSC11,MON,9,3.464,0.232,0.001,9.1
Fusarium acuminatum,ENA,1,7.764,7.764,7.764,7.764
Fusarium acuminatum,ENA1,1,76.378,76.378,76.378,76.378
Fusarium acuminatum,ENB,1,103.543,103.543,103.543,103.543
Fusarium acuminatum,ENB1,1,116.299,116.299,116.299,116.299
Fusarium acuminatum,MON,1,3.047,3.047,3.047,3.047
Fusarium avenaceum,ENA,1,0.018,0.018,0.018,0.018
Fusarium avenaceum,ENA1,20,3.573,0.935,0.147,22.464
Fusarium avenaceum,ENB,24,28.588,15.284,0.164,106.812
Fusarium avenaceum,ENB1,22,15.507,3.565,0.362,146.836
Fusarium avenaceum,MON,30,4.214,2.869,0,17.502
