Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1428,IV39,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2011,Parana,Guarapuava,-25.365872,-51.590822
F1429,K45,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2011,Parana,Pinh‹o,-25.687494,-51.702592
F1430,129,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2011,Parana,Cantagalo,-25.2669,-52.06948
F1431,K43,F. cerealis,F. cerealis,Others,NIV,Barley,2011,Parana,Pinh‹o,-25.689083,-51.697617
F1432,159,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2011,Parana,Cantagalo,-25.2669,-52.06948
F1433,VII85,F. avenaceum ,FTSC,FTSC,NA,Barley,2011,Parana,Foz do Jord‹o,-25.676478,-52.101281
F1434,C20,F. austroamericanum,FGSC,FGSC,3-ADON,Wheat,2011,Parana,Campina do Sim‹o,-25.21361,-51.87238
F1435,178,F. avenaceum ,FTSC,FTSC,NA,Wheat,2011,Parana,Cantagalo,-25.2669,-52.06948
F1436,E76,F. graminearum,FGSC,FGSC,15-ADON,Barley,2011,Parana,Guarapuava,-25.425386,-51.75825
F1437,W10,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2011,Parana,Guarapuava,-25.362944,-51.691381
F1438,61,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2011,Parana,Roncador,-24.56671,-52.40699
F1439,177,F. avenaceum ,FTSC,FTSC,NA,Wheat,2011,Parana,Cantagalo,-25.2669,-52.06948
F1440,F63,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2011,Parana,Guarapuava,-25.41247,-51.66062
F1441,IV21,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2011,Parana,Guarapuava,-25.368594,-51.591803
F1442,V85,F. avenaceum ,FTSC,FTSC,NA,Barley,2011,Parana,Guarapuava,-25.414381,-51.649497
F1443,E67,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2011,Parana,Guarapuava,-25.362944,-51.691381
F1444,J67,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2011,Parana,Pitanga,-24.837717,-51.6538
F1445,V95,F. meridionale,FGSC,FGSC,NIV,Barley,2011,Parana,Guarapuava,-25.411581,-51.645903
F1446,98,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2011,Parana,Roncador,-24.56671,-52.40699
F1447,H54,F. poae,F. poae,F. poae,NA,Barley,2011,Parana,Goioxim,-25.21361,-51.87238
